candidate_scope,candidate_id,candidate_label,source_id,source_family,evidence_level,candidate_type,decision_status,decision_class,decision_predicate,rationale,assumptions_or_heuristics,reviewer_or_role,source_artifact,linked_artifact,evidence_detail
source_candidate,devs,DEVS formalism and DEVS metamodel resources,devs,discrete_event_simulation,structured_non_rdf,formalism_or_metamodel,included,included,baseline-comparator,"DEVS concepts such as atomic/coupled models, events, state transitions, and simulation time overlap UOGTO dynamics and execution traces.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://acims.asu.edu/devs/,"{""licence"":{""disposition"":""metadata_only"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""high"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""petri-net-devs-hla"",""dynamics""]}"
source_candidate,dolce,DOLCE,dolce,upper_ontology,metadata_only,ontology,included,included,baseline-comparator,"DOLCE provides foundational categories useful when comparing events, qualities, agents, and social objects across modelling ontologies.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.loa.istc.cnr.it/dolce/overview.html,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core""]}"
source_candidate,emmo,European Materials and Modelling Ontology,emmo,upper_modelling_reference,metadata_only,ontology,included,included,baseline-comparator,EMMO is a modelling-oriented upper/reference ontology used by materials modelling and simulation ontology ecosystems.,Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://github.com/emmo-repo/EMMO,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""high"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core"",""article-hardening""]}"
source_candidate,fmi,Functional Mock-up Interface,fmi,physical_modelling,structured_non_rdf,interface_standard,included,included,simulation-interoperability-comparator,"FMI is relevant to simulator coupling, model exchange, and co-simulation bindings.","Interface standard, not a standalone ontology source.","standards_landscape_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://fmi-standard.org/,"{""licence"":{""disposition"":""metadata_only"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-physical-modelling""],""uogto_module_relevance"":[""execution-bindings"",""simulation-execution"",""digital-twin-games""]}"
source_candidate,game_ontology_project,Game Ontology Project,game_ontology_project,game_studies,metadata_only,vocabulary,included,included,baseline-comparator,The Game Ontology Project is a structured game concept vocabulary relevant to UOGTO's game specification and outcome concepts.,Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.gameontology.com/,"{""licence"":{""disposition"":""metadata_only"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core"",""article-hardening""]}"
source_candidate,gdl_ii_iii_gdlz,"GDL-II, GDL-III, and GDLZ variants",gdl_ii_iii_gdlz,game_description_language,literature_only,formal_language_family,included,included,game-formalism-comparator,"These GDL variants are relevant for imperfect information, epistemic, and extended game-description constructs that may expose UOGTO gaps.",Likely literature-only until a stable public specification artifact is acquired.,game_theory_gap_researcher,docs/article-hardening/source-extension-inventory.json,https://doi.org/10.1007/978-3-319-71649-7_15,"{""licence"":{""disposition"":""metadata_only"",""name"":""publisher_restricted"",""url"":null},""mapping_relevance"":""high"",""parseability"":""literature_or_documentation"",""search_record_ids"":[""phase2-game-description""],""uogto_module_relevance"":[""imperfect-information"",""epistemic-games"",""dynamic-games""]}"
source_candidate,gdlf_gamelan,Game Description Language and GDL resources,gdlf_gamelan,game_description_language,structured_non_rdf,formal_language,included,included,baseline-comparator,"Game Description Language models game rules, states, legal moves, and terminal conditions that overlap UOGTO rules/actions/outcomes.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://en.wikipedia.org/wiki/Game_Description_Language,"{""licence"":{""disposition"":""metadata_only"",""name"":""not_recorded"",""redistribution_risk"":""low"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""game-specification"",""rules"",""actions""]}"
source_candidate,gvgai_vgdl,General Video Game AI and VGDL resources,gvgai_vgdl,game_description_language,structured_non_rdf,benchmark_framework_and_language,included,included,game-ai-comparator,"GVGAI/VGDL is relevant to executable game descriptions, state transitions, and agent evaluation settings.",Benchmark artifacts vary by version and repository; record exact release before acquisition.,"game_theory_gap_researcher,standards_landscape_researcher",docs/article-hardening/source-extension-inventory.json,https://www.gvgai.net/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-game-description""],""uogto_module_relevance"":[""actions"",""state"",""game-ai"",""simulation-execution""]}"
source_candidate,hla_fom,High Level Architecture Federation Object Model resources,hla_fom,distributed_simulation,structured_non_rdf,standard_schema,included,included,baseline-comparator,"HLA/FOM resources are relevant to distributed simulation object, interaction, federation, and execution interoperability semantics.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.sisostds.org/,"{""licence"":{""disposition"":""metadata_only"",""name"":""not_recorded"",""redistribution_risk"":""high"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""petri-net-devs-hla"",""execution-bindings""]}"
source_candidate,kaos,KAoS ontology and policy services,kaos,agent_policy,metadata_only,ontology_framework,included,included,baseline-comparator,"KAoS is relevant to multi-agent permissions, obligations, policy, and agent coordination semantics adjacent to UOGTO deontic and agent modules.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://ontology.ihmc.us/kaos.html,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core"",""article-hardening""]}"
source_candidate,kisao,Kinetic Simulation Algorithm Ontology,kisao,simulation_algorithm,metadata_only,ontology,included,included,baseline-comparator,KiSAO is directly relevant to simulation algorithm semantics and SED-ML algorithm references.,Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://github.com/SED-ML/KiSAO,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""high"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""simulation-execution""]}"
source_candidate,ludii,Ludii general game system,ludii,game_description_language,structured_non_rdf,software_language_repository,included,included,game-formalism-comparator,Ludii game descriptions provide structured cross-game constructs useful for evaluating UOGTO rule and component coverage.,Licence and corpus redistribution need review before source acquisition.,"game_theory_gap_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://ludii.games/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""high"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-game-description""],""uogto_module_relevance"":[""game-specification"",""rules"",""actions"",""outcomes"",""players""]}"
source_candidate,miase,Minimum Information About a Simulation Experiment,miase,simulation_experiment,metadata_only,minimum_information_standard,included,included,baseline-comparator,MIASE provides reporting requirements for simulation experiments that can be compared with UOGTO model/session/trace coverage.,Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://co.mbine.org/standards/miase,"{""licence"":{""disposition"":""metadata_only"",""name"":""not_recorded"",""redistribution_risk"":""low"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""simulation-execution"",""execution-traces""]}"
source_candidate,modelica,Modelica language and Modelica Standard Library,modelica,physical_modelling,structured_non_rdf,modelling_language,included,included,simulation-language-comparator,Modelica is relevant to equation-based continuous and hybrid simulation semantics that overlap UOGTO dynamic-game extensions.,Language/library evidence should be charted separately from ontology evidence.,"standards_landscape_researcher,game_theory_gap_researcher",docs/article-hardening/source-extension-inventory.json,https://modelica.org/,"{""licence"":{""disposition"":""metadata_only"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-physical-modelling""],""uogto_module_relevance"":[""continuous-games"",""differential-hybrid-games"",""simulation-execution""]}"
source_candidate,oaei,Ontology Alignment Evaluation Initiative,oaei,mapping_evaluation_benchmark,metadata_only,benchmark_programme,included,included,mapping-method-context,OAEI is relevant background for reporting ontology mapping evaluation and manual review calibration.,Benchmark tracks are heterogeneous and not a single ontology source.,"standards_landscape_researcher,methods_editor",docs/article-hardening/source-extension-inventory.json,https://oaei.ontologymatching.org/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""varies_by_track"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-mapping-standards""],""uogto_module_relevance"":[""ontology-comparison"",""mapping-robustness""]}"
source_candidate,odd_protocol,ODD protocol for agent-based models,odd_protocol,agent_based_modelling,metadata_only,reporting_protocol,included,included,baseline-comparator,"ODD captures overview/design concepts/details of agent-based models and can be mapped to UOGTO specifications, agents, state, and processes.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.jasss.org/23/2/7.html,"{""licence"":{""disposition"":""metadata_only"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""agents"",""simulation-execution""]}"
source_candidate,ontouml_ufo,OntoUML / Unified Foundational Ontology,ontouml_ufo,upper_ontology,structured_non_rdf,ontology_or_metamodel,included,included,baseline-comparator,"OntoUML/UFO can inform conceptual modelling comparisons for agents, events, relations, roles, and social commitments.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://ontouml.org/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core""]}"
source_candidate,osmo,"Ontology for Simulation, Modelling, and Optimization",osmo,modelling_simulation_interoperability,metadata_only,ontology,included,included,baseline-comparator,"OSMO is explicitly about simulation, modelling, and optimization and is likely to overlap UOGTO model/execution/binding semantics.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://github.com/virtual-materials-marketplace/osmo,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""high"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""models"",""execution-bindings""]}"
source_candidate,owl_s,OWL-S Semantic Markup for Web Services,owl_s,process_service_ontology,metadata_only,ontology_submission,included,included,process-ontology-comparator,OWL-S process/service concepts are relevant to UOGTO executable action and binding semantics.,"Recorded as metadata-only until a specific OWL file, checksum, and licence are captured.","registry_discovery_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.w3.org/Submission/OWL-S/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""W3C document terms"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""parsed_rdf_owl_candidate"",""search_record_ids"":[""phase2-simulation-standards""],""uogto_module_relevance"":[""actions"",""processes"",""execution-bindings""]}"
source_candidate,owl_time,OWL-Time,owl_time,time,parsed_rdf_owl,ontology,included,included,baseline-comparator,"OWL-Time supports temporal intervals and instants relevant to sessions, traces, event timing, and simulation time.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.w3.org/TR/owl-time/,"{""licence"":{""disposition"":""redistributable_artifact"",""name"":""not_recorded"",""redistribution_risk"":""low"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""parsed_rdf_owl_candidate"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""dynamics"",""execution-traces""]}"
source_candidate,p_plan,P-Plan ontology,p_plan,workflow_plan,metadata_only,ontology,included,included,baseline-comparator,"P-Plan models plans, steps, variables, and executions, overlapping UOGTO executable-game and simulation workflow semantics.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://vocab.linkeddata.es/p-plan/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core"",""article-hardening""]}"
source_candidate,pddl,Planning Domain Definition Language,pddl,planning_language,structured_non_rdf,formal_language,included,included,action-formalism-comparator,PDDL action preconditions/effects and planning constructs are useful comparators for UOGTO action and transition semantics.,Not a game ontology; relevance should be limited to action/execution semantics.,"game_theory_gap_researcher,standards_landscape_researcher",docs/article-hardening/source-extension-inventory.json,https://planning.wiki/ref/pddl,"{""licence"":{""disposition"":""metadata_only"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-simulation-standards""],""uogto_module_relevance"":[""actions"",""state-transitions"",""plans""]}"
source_candidate,pnml,Petri Net Markup Language,pnml,petri_net,structured_non_rdf,xml_standard,included,included,simulation-formalism-comparator,PNML can support more precise comparison of UOGTO Petri-net examples and discrete-event execution semantics.,Use metadata until standard/schema licence and exact version are captured.,"standards_landscape_researcher,ontology_peer_reviewer",docs/article-hardening/source-extension-inventory.json,https://www.pnml.org/,"{""licence"":{""disposition"":""metadata_only"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""high"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-simulation-standards""],""uogto_module_relevance"":[""petri-net-devs-hla"",""dynamics"",""execution-traces""]}"
source_candidate,prov_o,PROV-O,prov_o,provenance,parsed_rdf_owl,ontology,included,included,baseline-comparator,"PROV-O overlaps UOGTO execution provenance, traces, activities, agents, generated outcomes, and source attribution.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.w3.org/TR/prov-o/,"{""licence"":{""disposition"":""redistributable_artifact"",""name"":""not_recorded"",""redistribution_risk"":""low"",""url"":null},""mapping_relevance"":""high"",""parseability"":""parsed_rdf_owl_candidate"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""trust-reputation-provenance"",""execution-traces""]}"
source_candidate,robot,ROBOT ontology tool,robot,ontology_quality_tool,metadata_only,software_tool,included,included,quality-method-candidate,"ROBOT is relevant to article hardening because it can support ontology report, reasoning, and profile checks in later phases.","Method/tool source rather than a comparator ontology; use for methods, not overlap counts.","reproducibility_curator,methods_editor",docs/article-hardening/source-extension-inventory.json,https://robot.obolibrary.org/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""unspecified"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""metadata_only"",""search_record_ids"":[""phase2-mapping-standards""],""uogto_module_relevance"":[""quality-metrics"",""release-validation""]}"
source_candidate,sbgn,Systems Biology Graphical Notation,sbgn,systems_biology_modelling,structured_non_rdf,notation_standard,included,included,notation-context,"SBGN is relevant as a process/network notation comparator, especially for visualizing model dynamics.","Notation standard, not a direct ontology-alignment target at this phase.","standards_landscape_researcher,methods_editor",docs/article-hardening/source-extension-inventory.json,https://sbgn.github.io/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""low"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-systems-biology""],""uogto_module_relevance"":[""network-games"",""dynamics"",""visualisation""]}"
source_candidate,sbml,Systems Biology Markup Language,sbml,systems_biology_modelling,structured_non_rdf,xml_standard,included,included,simulation-standard-comparator,SBML model/reaction/simulation ecosystem terms are relevant to UOGTO dynamic model and executable simulation semantics.,Systems-biology standard; article claims should distinguish biological modelling context from general game-theory scope.,"standards_landscape_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://sbml.org/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-systems-biology""],""uogto_module_relevance"":[""dynamics"",""simulation-execution"",""models""]}"
source_candidate,sbo,Systems Biology Ontology,sbo,systems_biology_modelling,metadata_only,ontology,included,included,ontology-comparator,SBO provides controlled terms for systems biology model semantics and simulation-algorithm contexts.,Recorded as metadata-only until artifact URL and licence are pinned.,"registry_discovery_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.ebi.ac.uk/sbo/,"{""licence"":{""disposition"":""needs_licence_review"",""name"":""needs_review"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""parsed_rdf_owl_candidate"",""search_record_ids"":[""phase2-systems-biology""],""uogto_module_relevance"":[""dynamics"",""simulation-execution"",""models""]}"
source_candidate,schema_org,schema.org,schema_org,general_web_schema,parsed_rdf_owl,vocabulary,included,included,baseline-comparator,"schema.org overlaps UOGTO metadata, creative work, software, dataset, action, and web-discoverability semantics.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://schema.org/,"{""licence"":{""disposition"":""redistributable_artifact"",""name"":""not_recorded"",""redistribution_risk"":""low"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""parsed_rdf_owl_candidate"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core"",""article-hardening""]}"
source_candidate,sed_ml,Simulation Experiment Description Markup Language,sed_ml,simulation_experiment,structured_non_rdf,schema_standard,included,included,baseline-comparator,"SED-ML describes models, simulations, tasks, data generators, outputs, and KiSAO-backed algorithms that overlap UOGTO execution semantics.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://sed-ml.org/,"{""licence"":{""disposition"":""metadata_only"",""name"":""not_recorded"",""redistribution_risk"":""medium"",""url"":null},""mapping_relevance"":""high"",""parseability"":""structured_non_rdf"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""simulation-execution"",""execution-traces""]}"
source_candidate,ssn_sosa,SSN/SOSA,ssn_sosa,observation_sensor,parsed_rdf_owl,ontology,included,included,baseline-comparator,"SSN/SOSA observation, procedure, result, and system semantics can align with simulation observation/output traces.",Imported from completed ontology-comparison baseline; licence and acquisition status remain as recorded there.,"evidence_curation_researcher,reproducibility_curator",docs/article-hardening/source-extension-inventory.json,https://www.w3.org/TR/vocab-ssn/,"{""licence"":{""disposition"":""redistributable_artifact"",""name"":""not_recorded"",""redistribution_risk"":""low"",""url"":null},""mapping_relevance"":""medium"",""parseability"":""parsed_rdf_owl_candidate"",""search_record_ids"":[""phase2-baseline-comparison""],""uogto_module_relevance"":[""core"",""article-hardening""]}"
